Trial;Fold;Accuracy
1;1;80.0
1;2;85.0
1;3;55.0
1;4;65.0
1;5;70.0
1;6;80.0
1;7;65.0
1;8;75.0
1;9;80.0
1;10;55.0
2;1;80.0
2;2;75.0
2;3;85.0
2;4;65.0
2;5;80.0
2;6;70.0
2;7;65.0
2;8;80.0
2;9;60.0
2;10;65.0
3;1;75.0
3;2;55.0
3;3;80.0
3;4;70.0
3;5;65.0
3;6;75.0
3;7;75.0
3;8;75.0
3;9;75.0
3;10;75.0
4;1;65.0
4;2;70.0
4;3;75.0
4;4;75.0
4;5;85.0
4;6;80.0
4;7;80.0
4;8;50.0
4;9;75.0
4;10;85.0
5;1;80.0
5;2;55.0
5;3;80.0
5;4;65.0
5;5;80.0
5;6;75.0
5;7;80.0
5;8;75.0
5;9;90.0
5;10;65.0
6;1;65.0
6;2;85.0
6;3;55.0
6;4;65.0
6;5;85.0
6;6;70.0
6;7;65.0
6;8;70.0
6;9;75.0
6;10;85.0
7;1;65.0
7;2;85.0
7;3;70.0
7;4;75.0
7;5;80.0
7;6;80.0
7;7;70.0
7;8;65.0
7;9;60.0
7;10;75.0
8;1;80.0
8;2;80.0
8;3;85.0
8;4;80.0
8;5;50.0
8;6;55.0
8;7;80.0
8;8;55.0
8;9;70.0
8;10;70.0
9;1;75.0
9;2;75.0
9;3;65.0
9;4;70.0
9;5;75.0
9;6;70.0
9;7;60.0
9;8;75.0
9;9;75.0
9;10;75.0
10;1;55.0
10;2;65.0
10;3;60.0
10;4;75.0
10;5;80.0
10;6;75.0
10;7;75.0
10;8;80.0
10;9;85.0
10;10;70.0
